ABBREV,DATA,YEAR,PUFID,URL
JOBS,Jobs File,1999,HC-032,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-032
FYC,Full-Year Consolidated File,1998,HC-028,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-028
COND,Medical Conditions,1998,HC-027,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-027
CLNK,Linkage: Condition-Event Link,1998,HC-026I,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-026I
RXLK,Linkage: RX-Event Link,1998,HC-026I,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-026I
HH,Event File - Home Health,1998,HC-026H,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-026H
OB,Event File - Office-Based Medical Provider Visits,1998,HC-026G,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-026G
OP,Event File - Outpatient Visits,1998,HC-026F,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-026F
ER,Event File - Emergency Room Visits,1998,HC-026E,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-026E
IP,Event File - Hospital Inpatient Stays,1998,HC-026D,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-026D
OM,Event File - Other Medical Expenses,1998,HC-026C,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-026C
DV,Event File - Dental Visits,1998,HC-026B,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-026B
RX,Event File - Prescribed Medicines,1998,HC-026A,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-026A
JOBS,Jobs File,1998,HC-025,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-025
PRPL,Person Round Plan,1996,HC-024,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-024
PIT,Point-In-Time (1996-2019),2000,HC-022,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-022
FYC,Full-Year Consolidated File,1997,HC-020,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-020
JOBS,Jobs File,1997,HC-019,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-019
